demand_type,time_period,origin_zone,dest_zone,demand
cycling,AM Peak (7-9am),30101100124,30102101221,1.367379578
cycling,AM Peak (7-9am),30101100124,30203103708,1.551516754
cycling,AM Peak (7-9am),30101100124,30305107630,2.713320343
cycling,AM Peak (7-9am),30101100125,30101100403,1.332496231
cycling,AM Peak (7-9am),30101100125,30101100437,1.551733665
cycling,AM Peak (7-9am),30101100125,30101100619,1.349320496
cycling,AM Peak (7-9am),30101100125,30102100904,1.96761792
cycling,AM Peak (7-9am),30101100125,30302105204,1.288973824
cycling,AM Peak (7-9am),30101100125,30501111105,1.908236786
cycling,AM Peak (7-9am),30101100129,30101100116,15.45714352
cycling,AM Peak (7-9am),30101100129,30102100812,3.826303116
cycling,AM Peak (7-9am),30101100129,30103102110,1.881868423
cycling,AM Peak (7-9am),30101100129,30301104813,1.851446091
cycling,AM Peak (7-9am),30101100129,30301104914,1.958459442
cycling,AM Peak (7-9am),30101100132,30101100606,4.863204468
cycling,AM Peak (7-9am),30101100132,30301104808,5.112198624
cycling,AM Peak (7-9am),30101100133,30101100507,5.16247702
cycling,AM Peak (7-9am),30101100134,30101100103,5.166090027
cycling,AM Peak (7-9am),30101100134,30101100120,8.315781586
cycling,AM Peak (7-9am),30101100134,30101100123,5.458422806
cycling,AM Peak (7-9am),30101100134,30101100437,3.640894821
cycling,AM Peak (7-9am),30101100134,30103101401,1.44936412
cycling,AM Peak (7-9am),30101100134,30304107015,1.417338112
cycling,AM Peak (7-9am),30101100136,30101100103,5.245159607
cycling,AM Peak (7-9am),30101100136,30101100437,1.31932048
cycling,AM Peak (7-9am),30101100136,30101100442,14.13598489
cycling,AM Peak (7-9am),30101100136,30302105917,1.734732132
cycling,AM Peak (7-9am),30101100136,30303106324,1.452543304
cycling,AM Peak (7-9am),30101100136,30305107630,1.72340712
cycling,AM Peak (7-9am),30101100136,30501111014,1.72340712
cycling,AM Peak (7-9am),30101100139,30101100140,1.681528458
cycling,AM Peak (7-9am),30101100140,30101100116,3.554424271
cycling,AM Peak (7-9am),30101100140,30101100407,1.893281113
cycling,AM Peak (7-9am),30101100140,30101100442,5.011944336
cycling,AM Peak (7-9am),30101100140,30102100728,2.670730545
cycling,AM Peak (7-9am),30101100140,30102100812,3.312900116
cycling,AM Peak (7-9am),30101100140,30102101305,1.23748362
cycling,AM Peak (7-9am),30101100140,30103101701,3.153565613
cycling,AM Peak (7-9am),30101100140,30103102031,2.948685089
cycling,AM Peak (7-9am),30101100140,30301104807,1.367379578
cycling,AM Peak (7-9am),30101100140,30504113615,1.755125763
cycling,AM Peak (7-9am),30101100141,30101100103,8.552839668
cycling,AM Peak (7-9am),30101100141,30101100112,1.417338112
cycling,AM Peak (7-9am),30101100141,30101100407,2.912122093
cycling,AM Peak (7-9am),30101100141,30101100442,3.503183807
cycling,AM Peak (7-9am),30101100141,30101100605,1.734732132
cycling,AM Peak (7-9am),30101100141,30102100727,1.452878738
cycling,AM Peak (7-9am),30101100141,30102100728,1.488359261
cycling,AM Peak (7-9am),30101100141,30102101242,3.503183807
cycling,AM Peak (7-9am),30101100141,30202102820,1.652288078
cycling,AM Peak (7-9am),30101100141,30301105135,1.944219864
cycling,AM Peak (7-9am),30101100142,30101100403,1.719535248
cycling,AM Peak (7-9am),30101100204,30501110623,2.589456146
cycling,AM Peak (7-9am),30101100208,30103102110,1.96761792
cycling,AM Peak (7-9am),30101100209,30103102126,7.593210815
cycling,AM Peak (7-9am),30101100301,30101100302,1.23748362
cycling,AM Peak (7-9am),30101100302,30101100120,1.186805023
cycling,AM Peak (7-9am),30101100302,30101100336,11.31542735
cycling,AM Peak (7-9am),30101100302,30101100407,1.734732132
cycling,AM Peak (7-9am),30101100302,30101100507,2.58108567
cycling,AM Peak (7-9am),30101100302,30101100606,2.215132874
cycling,AM Peak (7-9am),30101100302,30101100607,1.921098724
cycling,AM Peak (7-9am),30101100302,30101100614,1.985900955
cycling,AM Peak (7-9am),30101100302,30103102019,1.327990089
cycling,AM Peak (7-9am),30101100302,30103102031,1.521789391
cycling,AM Peak (7-9am),30101100302,30301104814,1.77203334
cycling,AM Peak (7-9am),30101100302,30302105812,1.490840401
cycling,AM Peak (7-9am),30101100302,30303106104,1.349320496
cycling,AM Peak (7-9am),30101100302,30501110531,1.452543304
cycling,AM Peak (7-9am),30101100305,30101100133,6.9252892
cycling,AM Peak (7-9am),30101100305,30101100334,1.65932029
cycling,AM Peak (7-9am),30101100305,30101100336,0.734924847
cycling,AM Peak (7-9am),30101100305,30101100403,1.897872055
cycling,AM Peak (7-9am),30101100305,30103101601,14.16923808
cycling,AM Peak (7-9am),30101100305,30103101605,3.290922745
cycling,AM Peak (7-9am),30101100305,30103101818,2.034892365
cycling,AM Peak (7-9am),30101100306,30101100116,6.533051056
cycling,AM Peak (7-9am),30101100306,30101100336,1.23748362
cycling,AM Peak (7-9am),30101100306,30101100409,1.585109245
cycling,AM Peak (7-9am),30101100306,30101100606,3.631615341
cycling,AM Peak (7-9am),30101100306,30202103220,1.762595764
cycling,AM Peak (7-9am),30101100306,30203103708,1.332496231
cycling,AM Peak (7-9am),30101100306,30301104816,1.452543304
cycling,AM Peak (7-9am),30101100306,30305107625,1.786258041
cycling,AM Peak (7-9am),30101100311,30101100324,4.953215424
cycling,AM Peak (7-9am),30101100311,30101100447,1.488359261
cycling,AM Peak (7-9am),30101100311,30501111001,1.726853699
cycling,AM Peak (7-9am),30101100316,30101100120,3.476910759
cycling,AM Peak (7-9am),30101100316,30101100311,5.088536346
cycling,AM Peak (7-9am),30101100316,30101100606,1.506271255
cycling,AM Peak (7-9am),30101100316,30103101505,4.929344467
cycling,AM Peak (7-9am),30101100316,30203103603,1.328706383
cycling,AM Peak (7-9am),30101100316,30203103708,1.328706383
cycling,AM Peak (7-9am),30101100316,30302105820,1.452878738
cycling,AM Peak (7-9am),30101100316,30502111728,1.734732132
cycling,AM Peak (7-9am),30101100321,30101100116,1.58341571
cycling,AM Peak (7-9am),30101100321,30101100336,16.31050874
cycling,AM Peak (7-9am),30101100321,30101100606,2.84757357
cycling,AM Peak (7-9am),30101100321,30101100614,5.023280258
cycling,AM Peak (7-9am),30101100321,30102100806,8.396157196
cycling,AM Peak (7-9am),30101100321,30102101221,1.332473022
cycling,AM Peak (7-9am),30101100321,30103101606,1.237241714
cycling,AM Peak (7-9am),30101100321,30302105605,1.288973824
cycling,AM Peak (7-9am),30101100323,30101100334,1.726853699
cycling,AM Peak (7-9am),30101100323,30101100336,1.726853699
cycling,AM Peak (7-9am),30101100323,30101100407,1.367379578
cycling,AM Peak (7-9am),30101100323,30101100606,1.792556305
cycling,AM Peak (7-9am),30101100323,30101100614,4.853837708
cycling,AM Peak (7-9am),30101100323,30102100804,3.497878357
cycling,AM Peak (7-9am),30101100323,30103102108,1.726853699
cycling,AM Peak (7-9am),30101100324,30101100407,1.551516754
cycling,AM Peak (7-9am),30101100324,30101100606,3.492111511
cycling,AM Peak (7-9am),30101100324,30101100614,6.716027603
cycling,AM Peak (7-9am),30101100324,30102100734,1.31932048
cycling,AM Peak (7-9am),30101100324,30102100738,9.044614517
cycling,AM Peak (7-9am),30101100324,30102101212,1.551516754
cycling,AM Peak (7-9am),30101100324,30102101213,1.237241714
cycling,AM Peak (7-9am),30101100324,30102101325,1.58341571
cycling,AM Peak (7-9am),30101100324,30103101824,2.318241226
cycling,AM Peak (7-9am),30101100324,30103102139,11.5136951
cycling,AM Peak (7-9am),30101100324,30304107015,1.452543304
cycling,AM Peak (7-9am),30101100324,30502111412,1.993628632
cycling,AM Peak (7-9am),30101100324,30502111718,1.237241714
cycling,AM Peak (7-9am),30101100324,30502111735,1.726853699
cycling,AM Peak (7-9am),30101100329,30101100116,3.668318085
cycling,AM Peak (7-9am),30101100329,30101100125,1.96761792
cycling,AM Peak (7-9am),30101100329,30101100407,1.673293564
cycling,AM Peak (7-9am),30101100329,30101100605,2.64731057
cycling,AM Peak (7-9am),30101100329,30101100606,1.367379578
cycling,AM Peak (7-9am),30101100329,30102101305,1.893281113
cycling,AM Peak (7-9am),30101100329,30503112825,1.993628632
cycling,AM Peak (7-9am),30101100334,30101100323,1.726853699
cycling,AM Peak (7-9am),30101100336,30101100116,2.193721237
cycling,AM Peak (7-9am),30101100336,30101100305,2.47554324
cycling,AM Peak (7-9am),30101100336,30101100321,8.61312088
cycling,AM Peak (7-9am),30101100336,30101100323,1.726853699
cycling,AM Peak (7-9am),30101100336,30101100407,3.521711327
cycling,AM Peak (7-9am),30101100336,30101100502,1.583629646
cycling,AM Peak (7-9am),30101100336,30101100606,3.245720886
cycling,AM Peak (7-9am),30101100336,30102100722,1.417338112
cycling,AM Peak (7-9am),30101100336,30301105142,1.726853699
cycling,AM Peak (7-9am),30101100336,30502111718,1.762595764
cycling,AM Peak (7-9am),30101100403,30101100120,2.59863813
cycling,AM Peak (7-9am),30101100403,30101100125,1.332496231
cycling,AM Peak (7-9am),30101100403,30101100407,2.749834343
cycling,AM Peak (7-9am),30101100403,30101100412,6.992518021
cycling,AM Peak (7-9am),30101100403,30101100437,1.673293564
cycling,AM Peak (7-9am),30101100403,30503112825,1.356545319
cycling,AM Peak (7-9am),30101100407,30101100114,2.532842194
cycling,AM Peak (7-9am),30101100407,30101100116,5.84896315
cycling,AM Peak (7-9am),30101100407,30101100120,1.400658852
cycling,AM Peak (7-9am),30101100407,30101100125,1.328706383
cycling,AM Peak (7-9am),30101100407,30101100403,1.417338112
cycling,AM Peak (7-9am),30101100407,30101100420,2.973151436
cycling,AM Peak (7-9am),30101100407,30101100428,2.604863197
cycling,AM Peak (7-9am),30101100407,30101100429,4.556294693
cycling,AM Peak (7-9am),30101100407,30103101701,1.707926971
cycling,AM Peak (7-9am),30101100407,30103101824,2.027004608
cycling,AM Peak (7-9am),30101100407,30103102031,1.673293564
cycling,AM Peak (7-9am),30101100407,30501110623,1.343602051
cycling,AM Peak (7-9am),30101100411,30101100125,1.332496231
cycling,AM Peak (7-9am),30101100412,30101100403,5.161398514
cycling,AM Peak (7-9am),30101100412,30102101221,4.607578201
cycling,AM Peak (7-9am),30101100414,30101100420,1.859387009
cycling,AM Peak (7-9am),30101100417,30101100112,1.673293564
cycling,AM Peak (7-9am),30101100417,30101100116,16.57824861
cycling,AM Peak (7-9am),30101100417,30101100407,2.027004608
