i_node,j_node,origin_zone,dest_zone,demand,segment_num,cost_minutes,length_metres,edge_type,WKT,od_pair,location_desc
342974,207909,30402108717,30403109301,22.0068172,95,0.065061387,24.09681,network,"LINESTRING(152.9579182 -27.5076991,152.9581278 -27.507588)",30402108717_30403109301,Walter Taylor Bridge
207909,5621,30402108717,30403109301,22.0068172,96,0.07212618,40.0701,network,"LINESTRING(152.958439 -27.5077499,152.9581278 -27.507588)",30402108717_30403109301,Walter Taylor Bridge
5621,5620,30402108717,30403109301,22.0068172,97,0.0881148,29.3716,network,"LINESTRING(152.958466 -27.5079419,152.958439 -27.5077499)",30402108717_30403109301,Walter Taylor Bridge
5620,6037,30402108717,30403109301,22.0068172,98,0.64904235,216.34745,network,"LINESTRING(152.958466 -27.5079419,152.9606215 -27.5082819)",30402108717_30403109301,Walter Taylor Bridge
6037,44865,30402108717,30403109301,22.0068172,99,0.09056511,30.18837,network,"LINESTRING(152.9608615 -27.5081191,152.9606215 -27.5082819)",30402108717_30403109301,Walter Taylor Bridge
44865,144133,30402108717,30403109301,22.0068172,100,0.02850084,15.8338,network,"LINESTRING(152.9610126 -27.5080715,152.9608615 -27.5081191)",30402108717_30403109301,Walter Taylor Bridge
144133,144127,30402108717,30403109301,22.0068172,101,0.0081288,4.516,network,"LINESTRING(152.9610416 -27.508103,152.9610126 -27.5080715)",30402108717_30403109301,Walter Taylor Bridge
144127,144124,30402108717,30403109301,22.0068172,102,0.02070747,11.50415,network,"LINESTRING(152.96111538434 -27.5081833102552,152.9610416 -27.508103)",30402108717_30403109301,Walter Taylor Bridge
144124,44655,30402108717,30403109301,22.0068172,103,0.017337852,9.63214,network,"LINESTRING(152.961177162158 -27.5082505520628,152.96111538434 -27.5081833102552)",30402108717_30403109301,Walter Taylor Bridge
44655,124619,30402108717,30403109301,22.0068172,104,0.01684953,9.36085,network,"LINESTRING(152.9612372 -27.5083159,152.961177162158 -27.5082505520628)",30402108717_30403109301,Walter Taylor Bridge
124619,124618,30402108717,30403109301,22.0068172,105,0.012632256,7.01792,network,"LINESTRING(152.9612822 -27.5083649,152.9612372 -27.5083159)",30402108717_30403109301,Walter Taylor Bridge
124618,108665,30402108717,30403109301,22.0068172,106,0.011141406,6.18967,network,"LINESTRING(152.9613349 -27.5083347,152.9612822 -27.5083649)",30402108717_30403109301,Walter Taylor Bridge
108665,108662,30402108717,30403109301,22.0068172,107,0.43525296,241.8072,network,"LINESTRING(152.9631112 -27.5068791,152.9613349 -27.5083347)",30402108717_30403109301,Walter Taylor Bridge
108662,108663,30402108717,30403109301,22.0068172,108,0.032920434,18.28913,network,"LINESTRING(152.9631112 -27.5068791,152.9631958 -27.5067323)",30402108717_30403109301,Walter Taylor Bridge
108663,108695,30402108717,30403109301,22.0068172,109,0.03070755,17.05975,network,"LINESTRING(152.9631958 -27.5067323,152.9632756 -27.5065958)",30402108717_30403109301,Walter Taylor Bridge
108695,108697,30402108717,30403109301,22.0068172,110,0.011587698,6.43761,network,"LINESTRING(152.9632756 -27.5065958,152.9633082 -27.5065455)",30402108717_30403109301,Walter Taylor Bridge
108697,336859,30402108717,30403109301,22.0068172,111,0.008047188,4.47066,network,"LINESTRING(152.9633082 -27.5065455,152.9633309 -27.5065106)",30402108717_30403109301,Walter Taylor Bridge
336859,2705,30402108717,30403109301,22.0068172,112,0.384179922,142.28886,network,"LINESTRING(152.9633309 -27.5065106,152.9647566 -27.5066193)",30402108717_30403109301,Walter Taylor Bridge
2705,343030,30402108717,30403109301,22.0068172,113,0.017411787,6.44881,network,"LINESTRING(152.9647566 -27.5066193,152.9648212 -27.5066276)",30402108717_30403109301,Walter Taylor Bridge
343030,4639,30402108717,30403109301,22.0068172,114,0.106074279,39.28677,network,"LINESTRING(152.9648212 -27.5066276,152.9648684 -27.5069718)",30402108717_30403109301,Walter Taylor Bridge
4639,4645,30402108717,30403109301,22.0068172,115,0.29901624,99.67208,network,"LINESTRING(152.9648684 -27.5069718,152.9658548 -27.5069009)",30402108717_30403109301,Walter Taylor Bridge
4645,4647,30402108717,30403109301,22.0068172,116,0.12239832,40.79944,network,"LINESTRING(152.9658548 -27.5069009,152.966264 -27.5069244)",30402108717_30403109301,Walter Taylor Bridge
4647,4651,30402108717,30403109301,22.0068172,117,0.02655474,8.85158,network,"LINESTRING(152.966264 -27.5069244,152.9663431 -27.5068869)",30402108717_30403109301,Walter Taylor Bridge
4651,4655,30402108717,30403109301,22.0068172,118,0.02463873,8.21291,network,"LINESTRING(152.9663431 -27.5068869,152.9664032 -27.5069381)",30402108717_30403109301,Walter Taylor Bridge
4655,4667,30402108717,30403109301,22.0068172,119,0.44982189,166.6007,network,"LINESTRING(152.9674441 -27.5057581,152.9664032 -27.5069381)",30402108717_30403109301,Walter Taylor Bridge
4667,343150,30402108717,30403109301,22.0068172,120,0.369803016,136.96408,network,"LINESTRING(152.9685849 -27.5052991,152.9674441 -27.5057581)",30402108717_30403109301,Walter Taylor Bridge
343150,4660,30402108717,30403109301,22.0068172,121,0.012306978,4.55814,network,"LINESTRING(152.9685849 -27.5052991,152.9686198 -27.505326)",30402108717_30403109301,Walter Taylor Bridge
4660,331737,30402108717,30403109301,22.0068172,122,0.01829007,10.16115,network,"LINESTRING(152.9686198 -27.505326,152.9687192 -27.5053115)",30402108717_30403109301,Walter Taylor Bridge
331737,331739,30402108717,30403109301,22.0068172,123,0.115176312,63.98684,network,"LINESTRING(152.9687192 -27.5053115,152.9693391 -27.5053658)",30402108717_30403109301,Walter Taylor Bridge
331739,331722,30402108717,30403109301,22.0068172,124,0.012418002,6.89889,network,"LINESTRING(152.9693391 -27.5053658,152.9694063 -27.5053489)",30402108717_30403109301,Walter Taylor Bridge
331722,331723,30402108717,30403109301,22.0068172,125,0.682200234,379.00013,network,"LINESTRING(152.9694063 -27.5053489,152.9731039 -27.5046337)",30402108717_30403109301,Walter Taylor Bridge
331723,331724,30402108717,30403109301,22.0068172,126,0.022516056,12.50892,network,"LINESTRING(152.9731039 -27.5046337,152.9732135 -27.5046902)",30402108717_30403109301,Walter Taylor Bridge
331724,2055,30402108717,30403109301,22.0068172,127,0.146966364,81.64798,network,"LINESTRING(152.9732135 -27.5046902,152.97385721569 -27.5050969932554)",30402108717_30403109301,Walter Taylor Bridge
2055,27421,30402108717,30403109301,22.0068172,128,0.107442342,59.69019,network,"LINESTRING(152.97385721569 -27.5050969932554,152.974420510308 -27.5052916209629)",30402108717_30403109301,Walter Taylor Bridge
27421,27419,30402108717,30403109301,22.0068172,129,0.317956932,176.64274,network,"LINESTRING(152.973766596586 -27.5067752403772,152.974420510308 -27.5052916209629)",30402108717_30403109301,Walter Taylor Bridge
27419,27417,30402108717,30403109301,22.0068172,130,0.011347488,6.30416,network,"LINESTRING(152.973743259206 -27.5068281889375,152.973766596586 -27.5067752403772)",30402108717_30403109301,Walter Taylor Bridge
27417,2051,30402108717,30403109301,22.0068172,131,0.079328952,44.07164,network,"LINESTRING(152.973323359847 -27.5067182877238,152.973743259206 -27.5068281889375)",30402108717_30403109301,Walter Taylor Bridge
2051,2050,30402108717,30403109301,22.0068172,132,0.18933318,42.07404,network,"LINESTRING(152.9732034 -27.5070826,152.973323359847 -27.5067182877238)",30402108717_30403109301,Walter Taylor Bridge
