node_id,X,Y
133,153.0279041,-27.456709
134,153.0284134,-27.4529624
135,153.0277927,-27.4532941
136,153.0286618,-27.4560664
137,153.0303106,-27.4573562
138,153.0142231,-27.4511518
139,153.0144775,-27.4512962
141,153.0147975,-27.4514687
143,153.0149889,-27.4515481
145,153.0156443,-27.451593
146,153.0161525,-27.4529022
147,153.0159871,-27.4542656
148,153.0141769,-27.4511176
150,153.0129539,-27.4502902
151,153.0130164,-27.4502822
153,153.015787,-27.4516843
157,153.0134544,-27.450655
160,153.0224243,-27.4504067
161,153.0227865,-27.4494371
162,153.0206144,-27.4507046
163,153.0212098,-27.4503602
165,153.0217071,-27.4503474
168,153.0261156,-27.4555747
169,153.0253431,-27.4551748
170,153.0249126,-27.4559888
171,153.0250158,-27.4562387
173,153.0252201,-27.4551271
176,153.0296179,-27.4542464
177,153.0295474,-27.4541787
178,153.0300048,-27.4545346
179,153.0296766,-27.4543011
182,153.0242348,-27.4585679
185,153.0253237,-27.4579621
186,153.0234896,-27.4588626
187,153.0237453,-27.4587678
190,153.0268763,-27.4540919
191,153.0273172,-27.4544013
193,153.0286699,-27.4554285
194,153.0245331,-27.4568276
199,153.0251835,-27.4561138
202,153.0273113,-27.4535737
203,153.0277678,-27.4539383
205,153.0290378,-27.4549356
206,153.0255851,-27.4581689
207,153.0260915,-27.4585693
208,153.0242873,-27.4571575
212,153.0285843,-27.4528301
213,153.028959,-27.4526251
215,153.0290228,-27.4525939
216,153.0312775,-27.4576918
217,153.0311434,-27.4574907
218,153.0301709,-27.4585224
220,153.0270128,-27.4556461
221,153.0281093,-27.456496
222,153.0265491,-27.455294
223,153.0269229,-27.4555759
226,153.0311545,-27.4516108
227,153.0320782,-27.4524134
229,153.0326468,-27.4528896
230,153.0295997,-27.4540383
231,153.0314183,-27.4536932
232,153.0306159,-27.4598473
233,153.030854,-27.4600082
235,153.0316812,-27.4606225
236,153.029093,-27.4586381
237,153.0299487,-27.4593432
240,153.0237158,-27.459815
242,153.0237319,-27.4597365
245,153.0235381,-27.4607077
246,153.0237396,-27.4595203
250,153.0232528,-27.4582505
251,153.0234035,-27.4586323
254,153.0242641,-27.4627162
255,153.0244094,-27.4612575
258,153.0304808,-27.4549023
259,153.0322069,-27.4553402
261,153.0322659,-27.4553855
262,153.0303498,-27.4617361
263,153.0304302,-27.4613854
264,153.0289531,-27.4603181
266,153.0296504,-27.4606255
267,153.0299399,-27.4606598
270,153.0280973,-27.4596511
271,153.0287557,-27.460181
274,153.0276716,-27.4613305
276,153.0252103,-27.4609606
277,153.0261142,-27.4600337
278,153.0252916,-27.4593866
279,153.0253372,-27.4594282
280,153.0245952,-27.4588519
283,153.0244186,-27.4587166
286,153.0214405,-27.4603931
287,153.0217664,-27.4586272
288,153.0184163,-27.460859
289,153.0184737,-27.4608911
291,153.018861,-27.4611034
292,153.0315551,-27.4578037
293,153.0316785,-27.4579489
294,153.028162,-27.4623038
295,153.0277069,-27.4618467
297,153.0272199,-27.4612617
298,153.0247617,-27.4627266
299,153.0249746,-27.4615281
301,153.0250909,-27.4609418
302,153.0203957,-27.4602408
303,153.0206438,-27.4589199
304,153.0264227,-27.463351
