zone_id,zone_x,zone_y,node_id,node_x,node_y,length_metres,cost_minutes,WKT
30202103125,153.0232816,-27.41307682,40391,153.0228347,-27.4134086,57.48889735,0,"LINESTRING(153.023281630321 -27.4130768211378,153.0228347 -27.4134086)"
30202103126,153.0250998,-27.41344073,40451,153.0250717,-27.4138354,43.82172784,0,"LINESTRING(153.025099824418 -27.413440730221,153.0250717 -27.4138354)"
30202103127,153.0279444,-27.4135001,40395,153.0282938,-27.4129295,72.05421911,0,"LINESTRING(153.027944385437 -27.4135001044805,153.0282938 -27.4129295)"
30202103128,153.0233578,-27.41673068,11017,153.0235533,-27.4167807,20.10835253,0,"LINESTRING(153.023357830072 -27.4167306785529,153.0235533 -27.4167807)"
30202103129,153.024739,-27.42036037,99682,153.0243475,-27.4206409,49.65168361,0,"LINESTRING(153.024739042777 -27.4203603735957,153.0243475 -27.4206409)"
30202103130,153.0285551,-27.42083716,10879,153.0285915,-27.4209241,10.28495529,0,"LINESTRING(153.028555093042 -27.420837155615,153.0285915 -27.4209241)"
30202103131,153.0259362,-27.41733927,7918,153.0255309,-27.4170297,52.75446912,0,"LINESTRING(153.025936202056 -27.4173392703825,153.0255309 -27.4170297)"
30202103132,153.026161,-27.39470075,1338,153.0268735,-27.3946352,70.84449103,0,"LINESTRING(153.026160994052 -27.3947007506751,153.0268735 -27.3946352)"
30202103202,153.0216406,-27.40968583,120834,153.021771,-27.4102972,68.96267867,0,"LINESTRING(153.021640591949 -27.4096858282534,153.021771 -27.4102972)"
30202103204,153.0194894,-27.40616394,19219,153.018776,-27.406073,71.26802164,0,"LINESTRING(153.019489397041 -27.4061639395161,153.018776 -27.406073)"
30202103205,153.0161656,-27.40558739,61791,153.0156619,-27.4062057,84.71086844,0,"LINESTRING(153.016165623463 -27.4055873912329,153.0156619 -27.4062057)"
30202103206,153.0149917,-27.41231242,19259,153.0150612,-27.4122238,11.9876058,0,"LINESTRING(153.014991673974 -27.4123124194034,153.0150612 -27.4122238)"
30202103208,153.002726,-27.40325293,53932,153.0025168,-27.4027111,63.50532355,0,"LINESTRING(153.002726028247 -27.4032529250924,153.0025168 -27.4027111)"
30202103209,153.0042989,-27.41166454,38999,153.0047112,-27.4119291,50.22128259,0,"LINESTRING(153.004298855098 -27.4116645427335,153.0047112 -27.4119291)"
30202103210,153.0113072,-27.40557416,61801,153.0114219,-27.4059542,43.61362909,0,"LINESTRING(153.011307186822 -27.4055741590895,153.0114219 -27.4059542)"
30202103211,153.0124386,-27.40403062,61848,153.0125743,-27.4038696,22.32675125,0,"LINESTRING(153.012438595885 -27.404030621577,153.0125743 -27.4038696)"
30202103212,153.0136523,-27.40862144,65349,153.0131777,-27.4086264,46.94159341,0,"LINESTRING(153.013652335019 -27.4086214367843,153.0131777 -27.4086264)"
30202103213,153.0091215,-27.40803696,19267,153.008178,-27.4078518,95.5316779,0,"LINESTRING(153.009121456169 -27.4080369600817,153.008178 -27.4078518)"
30202103214,153.00659,-27.40575186,53940,153.0070365,-27.4062741,72.79459444,0,"LINESTRING(153.006589966111 -27.405751856285,153.0070365 -27.4062741)"
